Date,SARIMA_Scope1,SARIMA_Scope2
2024-10-01,1799.5827003360134,1309.1297277661192
2024-11-01,1689.4466594065511,1263.863220071563
2024-12-01,1659.9737511120538,1280.3948288026577
2025-01-01,1686.4837093504814,1202.1646198486078
2025-02-01,1621.3952597420955,1129.550157425059
2025-03-01,1770.8090583251096,1186.0155772634434
2025-04-01,1810.7909659049803,1172.3608570365543
2025-05-01,1933.8537854543554,1203.3440864388442
2025-06-01,1870.7004377097483,1150.6050082812849
2025-07-01,2002.7362736618927,1206.743307217243
2025-08-01,1920.4028061989895,1194.5531225371471
2025-09-01,1798.5821864397153,1128.952616973317
2025-10-01,1800.1539649227238,1181.8019075840568
2025-11-01,1690.4261676753165,1140.0999041561577
2025-12-01,1656.8125530448883,1154.4871998398196
