ds,SARIMA_Scope1,SARIMA_Scope2
2024-10-01,1799.58270033601,1309.12972776612
2024-11-01,1689.44665940655,1263.86322007156
2024-12-01,1659.97375111205,1280.39482880266
2025-01-01,1686.48370935048,1202.16461984861
2025-02-01,1621.3952597421,1129.55015742506
2025-03-01,1770.80905832511,1186.01557726344
2025-04-01,1810.79096590498,1172.36085703655
2025-05-01,1933.85378545436,1203.34408643884
2025-06-01,1870.70043770975,1150.60500828128
2025-07-01,2002.73627366189,1206.74330721724
2025-08-01,1920.40280619899,1194.55312253715
2025-09-01,1798.58218643972,1128.95261697332
2025-10-01,1800.15396492272,1181.80190758406
2025-11-01,1690.42616767532,1140.09990415616
2025-12-01,1656.81255304489,1154.48719983982
